 1.33457E+04, 1.25285E+04, 2.25576E+04, 2.22484E+04, 2.34861E+04, 1.69605E+04,
 1.33457E+04, 1.25285E+04, 2.25576E+04, 2.22484E+04, 2.34861E+04, 1.69605E+04,
 1.33457E+04, 1.25285E+04, 2.25576E+04, 2.22484E+04, 2.34861E+04, 1.69605E+04,
 1.33457E+04, 1.25285E+04, 2.25576E+04, 2.22484E+04, 2.34861E+04, 1.69605E+04,
 1.33457E+04, 1.25285E+04, 2.25576E+04, 2.22484E+04, 2.34861E+04, 1.69605E+04,
 1.33457E+04, 1.25285E+04, 2.25576E+04, 2.22484E+04, 2.34861E+04, 1.69605E+04,
 1.33457E+04, 1.25285E+04, 2.25576E+04, 2.22484E+04, 2.34861E+04, 1.69605E+04,
 1.33457E+04, 1.25285E+04, 2.25576E+04, 2.22484E+04, 2.34861E+04, 1.69605E+04,
 1.33457E+04, 1.25285E+04, 2.25576E+04, 2.22484E+04, 2.34861E+04, 1.69605E+04,
 1.33457E+04, 1.25285E+04, 2.25576E+04, 2.22484E+04, 2.34861E+04, 1.69605E+04,
 1.33284E+04, 1.25298E+04, 2.25496E+04, 2.22289E+04, 2.34759E+04, 1.69618E+04,
 1.32529E+04, 1.24757E+04, 2.25759E+04, 2.20997E+04, 2.33533E+04, 1.69981E+04,
 1.31589E+04, 1.24021E+04, 2.27384E+04, 2.19790E+04, 2.32734E+04, 1.69495E+04,
 1.31010E+04, 1.23805E+04, 2.28897E+04, 2.18585E+04, 2.31719E+04, 1.67515E+04,
 1.29625E+04, 1.22909E+04, 2.29269E+04, 2.16386E+04, 2.29266E+04, 1.65495E+04,
 1.28128E+04, 1.21148E+04, 2.28441E+04, 2.11805E+04, 2.25276E+04, 1.62460E+04,
 1.25263E+04, 1.18329E+04, 2.26811E+04, 2.04031E+04, 2.18214E+04, 1.59318E+04,
 1.21414E+04, 1.15041E+04, 2.25756E+04, 1.95376E+04, 2.10140E+04, 1.56324E+04,
 1.15849E+04, 1.09402E+04, 2.26068E+04, 1.86676E+04, 2.02310E+04, 1.53578E+04,
 1.08345E+04, 1.02264E+04, 2.27277E+04, 1.78205E+04, 1.94041E+04, 1.51857E+04,
 1.01758E+04, 9.51275E+03, 2.28791E+04, 1.68294E+04, 1.83630E+04, 1.49423E+04,
 9.79388E+03, 9.00984E+03, 2.27478E+04, 1.56830E+04, 1.72771E+04, 1.47170E+04,
 9.60446E+03, 8.73108E+03, 2.21380E+04, 1.43690E+04, 1.60614E+04, 1.44931E+04,
 9.51782E+03, 8.54846E+03, 2.12699E+04, 1.31124E+04, 1.48924E+04, 1.43825E+04,
 9.86751E+03, 8.67350E+03, 2.03846E+04, 1.21463E+04, 1.40165E+04, 1.43104E+04,
 1.06261E+04, 9.28408E+03, 1.97033E+04, 1.16309E+04, 1.34406E+04, 1.43943E+04,
 1.17787E+04, 1.02966E+04, 1.90667E+04, 1.15436E+04, 1.32297E+04, 1.44966E+04,
 1.33857E+04, 1.16856E+04, 1.83619E+04, 1.16666E+04, 1.32872E+04, 1.44043E+04,
 1.53180E+04, 1.36109E+04, 1.74810E+04, 1.18371E+04, 1.34969E+04, 1.41854E+04,
 1.78543E+04, 1.60389E+04, 1.62687E+04, 1.21624E+04, 1.39274E+04, 1.40377E+04,
 2.05316E+04, 1.87129E+04, 1.48835E+04, 1.29314E+04, 1.48700E+04, 1.41258E+04,
 2.29968E+04, 2.11455E+04, 1.38666E+04, 1.43546E+04, 1.60993E+04, 1.43676E+04,
 2.53505E+04, 2.33647E+04, 1.35182E+04, 1.61690E+04, 1.75067E+04, 1.47283E+04,
 2.74408E+04, 2.53511E+04, 1.36518E+04, 1.77583E+04, 1.88499E+04, 1.49323E+04,
 2.91725E+04, 2.71513E+04, 1.37560E+04, 1.89179E+04, 1.98362E+04, 1.50102E+04,
 3.04792E+04, 2.85681E+04, 1.39496E+04, 1.97160E+04, 2.06069E+04, 1.49134E+04,
 3.13551E+04, 2.95740E+04, 1.43098E+04, 2.05353E+04, 2.14658E+04, 1.47046E+04,
 3.16948E+04, 3.01072E+04, 1.48680E+04, 2.14669E+04, 2.24019E+04, 1.48459E+04,
 3.16960E+04, 3.01087E+04, 1.56940E+04, 2.23278E+04, 2.30207E+04, 1.52652E+04,
