
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

      101   0.547809574468        0.147451495458E-016   0.821250000000E-001
      102   0.553700000000        0.712500000000E-002   0.750000000000E-001
      103   0.553700000000        0.688222151231E-002   0.768440856964E-001
      104   0.553700000000        0.617043100153E-002   0.785625000008E-001
      105   0.553700000000        0.503813581473E-002   0.800381358172E-001
      106   0.553700000000        0.356249999774E-002   0.811704310033E-001
      107   0.553700000000        0.184408569301E-002   0.818822215132E-001
      108   0.589042553192E-002   0.712500000000E-002   0.750000000000E-001
      109   0.117808510638E-001   0.712500000000E-002   0.750000000000E-001
      110   0.176712765957E-001   0.712500000000E-002   0.750000000000E-001
      111   0.235617021277E-001   0.712500000000E-002   0.750000000000E-001
      112   0.294521276596E-001   0.712500000000E-002   0.750000000000E-001
      113   0.353425531915E-001   0.712500000000E-002   0.750000000000E-001
      114   0.412329787234E-001   0.712500000000E-002   0.750000000000E-001
      115   0.471234042553E-001   0.712500000000E-002   0.750000000000E-001
      116   0.530138297872E-001   0.712500000000E-002   0.750000000000E-001
      117   0.589042553192E-001   0.712500000000E-002   0.750000000000E-001
      118   0.647946808511E-001   0.712500000000E-002   0.750000000000E-001
      119   0.706851063830E-001   0.712500000000E-002   0.750000000000E-001
      120   0.765755319149E-001   0.712500000000E-002   0.750000000000E-001

   NODE        X                   Y                   Z
      121   0.824659574468E-001   0.712500000000E-002   0.750000000000E-001
      122   0.883563829787E-001   0.712500000000E-002   0.750000000000E-001
      123   0.942468085106E-001   0.712500000000E-002   0.750000000000E-001
      124   0.100137234043        0.712500000000E-002   0.750000000000E-001
      125   0.106027659574        0.712500000000E-002   0.750000000000E-001
      126   0.111918085106        0.712500000000E-002   0.750000000000E-001
      127   0.117808510638        0.712500000000E-002   0.750000000000E-001
      128   0.123698936170        0.712500000000E-002   0.750000000000E-001
      129   0.129589361702        0.712500000000E-002   0.750000000000E-001
      130   0.135479787234        0.712500000000E-002   0.750000000000E-001
      131   0.141370212766        0.712500000000E-002   0.750000000000E-001
      132   0.147260638298        0.712500000000E-002   0.750000000000E-001
      133   0.153151063830        0.712500000000E-002   0.750000000000E-001
      134   0.159041489362        0.712500000000E-002   0.750000000000E-001
      135   0.164931914894        0.712500000000E-002   0.750000000000E-001
      136   0.170822340426        0.712500000000E-002   0.750000000000E-001
      137   0.176712765957        0.712500000000E-002   0.750000000000E-001
      138   0.182603191489        0.712500000000E-002   0.750000000000E-001
      139   0.188493617021        0.712500000000E-002   0.750000000000E-001
      140   0.194384042553        0.712500000000E-002   0.750000000000E-001

   NODE        X                   Y                   Z
      141   0.200274468085        0.712500000000E-002   0.750000000000E-001
      142   0.206164893617        0.712500000000E-002   0.750000000000E-001
      143   0.212055319149        0.712500000000E-002   0.750000000000E-001
      144   0.217945744681        0.712500000000E-002   0.750000000000E-001
      145   0.223836170213        0.712500000000E-002   0.750000000000E-001
      146   0.229726595745        0.712500000000E-002   0.750000000000E-001
      147   0.235617021277        0.712500000000E-002   0.750000000000E-001
      148   0.241507446809        0.712500000000E-002   0.750000000000E-001
      149   0.247397872340        0.712500000000E-002   0.750000000000E-001
      150   0.253288297872        0.712500000000E-002   0.750000000000E-001
      151   0.259178723404        0.712500000000E-002   0.750000000000E-001
      152   0.265069148936        0.712500000000E-002   0.750000000000E-001
      153   0.270959574468        0.712500000000E-002   0.750000000000E-001
      154   0.276850000000        0.712500000000E-002   0.750000000000E-001
      155   0.282740425532        0.712500000000E-002   0.750000000000E-001
      156   0.288630851064        0.712500000000E-002   0.750000000000E-001
      157   0.294521276596        0.712500000000E-002   0.750000000000E-001
      158   0.300411702128        0.712500000000E-002   0.750000000000E-001
      159   0.306302127660        0.712500000000E-002   0.750000000000E-001
      160   0.312192553192        0.712500000000E-002   0.750000000000E-001

   NODE        X                   Y                   Z
      161   0.318082978723        0.712500000000E-002   0.750000000000E-001
      162   0.323973404255        0.712500000000E-002   0.750000000000E-001
      163   0.329863829787        0.712500000000E-002   0.750000000000E-001
      164   0.335754255319        0.712500000000E-002   0.750000000000E-001
      165   0.341644680851        0.712500000000E-002   0.750000000000E-001
      166   0.347535106383        0.712500000000E-002   0.750000000000E-001
      167   0.353425531915        0.712500000000E-002   0.750000000000E-001
      168   0.359315957447        0.712500000000E-002   0.750000000000E-001
      169   0.365206382979        0.712500000000E-002   0.750000000000E-001
      170   0.371096808511        0.712500000000E-002   0.750000000000E-001
      171   0.376987234043        0.712500000000E-002   0.750000000000E-001
      172   0.382877659574        0.712500000000E-002   0.750000000000E-001
      173   0.388768085106        0.712500000000E-002   0.750000000000E-001
      174   0.394658510638        0.712500000000E-002   0.750000000000E-001
      175   0.400548936170        0.712500000000E-002   0.750000000000E-001
      176   0.406439361702        0.712500000000E-002   0.750000000000E-001
      177   0.412329787234        0.712500000000E-002   0.750000000000E-001
      178   0.418220212766        0.712500000000E-002   0.750000000000E-001
      179   0.424110638298        0.712500000000E-002   0.750000000000E-001
      180   0.430001063830        0.712500000000E-002   0.750000000000E-001

   NODE        X                   Y                   Z
      181   0.435891489362        0.712500000000E-002   0.750000000000E-001
      182   0.441781914894        0.712500000000E-002   0.750000000000E-001
      183   0.447672340426        0.712500000000E-002   0.750000000000E-001
      184   0.453562765957        0.712500000000E-002   0.750000000000E-001
      185   0.459453191489        0.712500000000E-002   0.750000000000E-001
      186   0.465343617021        0.712500000000E-002   0.750000000000E-001
      187   0.471234042553        0.712500000000E-002   0.750000000000E-001
      188   0.477124468085        0.712500000000E-002   0.750000000000E-001
      189   0.483014893617        0.712500000000E-002   0.750000000000E-001
      190   0.488905319149        0.712500000000E-002   0.750000000000E-001
      191   0.494795744681        0.712500000000E-002   0.750000000000E-001
      192   0.500686170213        0.712500000000E-002   0.750000000000E-001
      193   0.506576595745        0.712500000000E-002   0.750000000000E-001
      194   0.512467021277        0.712500000000E-002   0.750000000000E-001
      195   0.518357446809        0.712500000000E-002   0.750000000000E-001
      196   0.524247872340        0.712500000000E-002   0.750000000000E-001
      197   0.530138297872        0.712500000000E-002   0.750000000000E-001
      198   0.536028723404        0.712500000000E-002   0.750000000000E-001
      199   0.541919148936        0.712500000000E-002   0.750000000000E-001
      200   0.547809574468        0.712500000000E-002   0.750000000000E-001

   NODE        X                   Y                   Z
      201   0.117808510638E-001   0.688222151231E-002   0.768440856964E-001
      202   0.235617021277E-001   0.688222151231E-002   0.768440856964E-001
      203   0.353425531915E-001   0.688222151231E-002   0.768440856964E-001
      204   0.471234042553E-001   0.688222151231E-002   0.768440856964E-001
      205   0.589042553191E-001   0.688222151231E-002   0.768440856964E-001
      206   0.706851063830E-001   0.688222151231E-002   0.768440856964E-001
      207   0.824659574468E-001   0.688222151231E-002   0.768440856964E-001
      208   0.942468085106E-001   0.688222151231E-002   0.768440856964E-001
      209   0.106027659574        0.688222151231E-002   0.768440856964E-001
      210   0.117808510638        0.688222151231E-002   0.768440856964E-001
      211   0.129589361702        0.688222151231E-002   0.768440856964E-001
      212   0.141370212766        0.688222151231E-002   0.768440856964E-001
      213   0.153151063830        0.688222151231E-002   0.768440856964E-001
      214   0.164931914894        0.688222151231E-002   0.768440856964E-001
      215   0.176712765957        0.688222151231E-002   0.768440856964E-001
      216   0.188493617021        0.688222151231E-002   0.768440856964E-001
      217   0.200274468085        0.688222151231E-002   0.768440856964E-001
      218   0.212055319149        0.688222151231E-002   0.768440856964E-001
      219   0.223836170213        0.688222151231E-002   0.768440856964E-001
      220   0.235617021277        0.688222151231E-002   0.768440856964E-001

   NODE        X                   Y                   Z
      221   0.247397872340        0.688222151231E-002   0.768440856964E-001
      222   0.259178723404        0.688222151231E-002   0.768440856964E-001
      223   0.270959574468        0.688222151231E-002   0.768440856964E-001
      224   0.282740425532        0.688222151231E-002   0.768440856964E-001
      225   0.294521276596        0.688222151231E-002   0.768440856964E-001
      226   0.306302127660        0.688222151231E-002   0.768440856964E-001
      227   0.318082978723        0.688222151231E-002   0.768440856964E-001
      228   0.329863829787        0.688222151231E-002   0.768440856964E-001
      229   0.341644680851        0.688222151231E-002   0.768440856964E-001
      230   0.353425531915        0.688222151231E-002   0.768440856964E-001
      231   0.365206382979        0.688222151231E-002   0.768440856964E-001
      232   0.376987234043        0.688222151231E-002   0.768440856964E-001
      233   0.388768085106        0.688222151231E-002   0.768440856964E-001
      234   0.400548936170        0.688222151231E-002   0.768440856964E-001
      235   0.412329787234        0.688222151231E-002   0.768440856964E-001
      236   0.424110638298        0.688222151231E-002   0.768440856964E-001
      237   0.435891489362        0.688222151231E-002   0.768440856964E-001
